Date of report export ,03/01/2020 
Selected start date ,01/10/2019 
Selected end date ,31/01/2020 
Location No ,3 
Location Name ,Site EUR1 
Meal period names ,Lunch;Brunch  

Date ,Meal period ,Recipe ,Type ,Planned Qty ,Qty Requisitioned ,Qty Prod. ,Qty Sold ,No Charge Applied ,Return to Stock ,Wastage 
    25/12/2019,Lunch,004River Rock Still Water Pet,TariffOne,0,0,0,0,0,0,0
    25/12/2019,Lunch,004Roast Chicken Breast,TariffOne,0,0,0,0,0,0,0
    25/12/2019,Lunch,004Sweet Pastry (fresh),TariffOne,0,0,0,0,0,0,0
    25/12/2019,Lunch,004Tartare Sauce (bulk),TariffOne,0,0,0,0,0,0,0
    25/12/2019,Lunch,004Tartare Sauce Portion,TariffOne,0,0,0,0,0,0,0
    25/12/2019,Lunch,004Tayto Cheese & Onion Crisps,TariffOne,0,0,0,0,0,0,0
    25/12/2019,Lunch,004Tracker Roasted Nut Cereal Bar,TariffOne,0,0,0,0,0,0,0
    25/12/2019,Lunch,004Vegetable Stock (gran bouillon),TariffOne,0,0,0,0,0,0,0
    25/12/2019,Lunch,004Vegetable Stock (bouillon),TariffOne,0,0,0,0,0,0,0
    25/12/2019,Lunch,004Wholemeal Pastry (fresh),TariffOne,0,0,0,0,0,0,0
    25/12/2019,Lunch,004White Floured Bap 5'' (frz),TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Apple Sauce (tinned)_v22,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Brunch ,004Apple Sauce (tinned)_v22,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Apple Sauce (tinned)_v3,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Apple Sauce (tinned)_v4,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Baked Beans_0,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Baked Beans_1,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Baked Beans_2,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Baked Beans_3,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Baked Beanss,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Basic Chocolate Sponge,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Basic Sponge,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Beef Stock (bouillon),TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Bechamel Sauce,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Blueberry Muffin (Wrapped),TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Boiled Rice,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Bread (frozen dough),TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Chicken Stock (bouillon),TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Fish Stock (bouillon),TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Fresh Lemon Curd,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Fresh White Breadcrumbs (frz) 10g,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Fresh White Breadcrumbs (frz) 50g,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004German Shortcrust Pastry (fresh)007,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Gravy (mix),TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Grilled Back Bacon,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,"004Hash Brown, triangle (frz)",TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Jam Sauce,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Jerk Paste Marinade,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Kellogs Special K Cereal Bar,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Mango Chutney & Lime Pickle (bulk),TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Muller Fruit Corner Bberry Yoghurt 175g E2E1,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Orange Juice (200ml),TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Pork Sausage 8's,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004River Rock Still Water Pet,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Roast Chicken Breast,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Sweet Pastry (fresh),TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Tartare Sauce (bulk),TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Tartare Sauce Portion,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Tayto Cheese & Onion Crisps,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Tracker Roasted Nut Cereal Bar,TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Vegetable Stock (gran bouillon),TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Vegetable Stock (bouillon),TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004Wholemeal Pastry (fresh),TariffOne,0,0,0,0,0,0,0
    31/12/2019,Lunch,004White Floured Bap 5'' (frz),TariffOne,0,0,0,0,0,0,0
    30/12/2019,Lunch,004Boiled Rice,TariffOne,0,0,0,10,0,0,0
    30/12/2019,Lunch,004Bread (frozen dough),TariffOne,0,0,0,10,0,0,0
